Position (cm ± 0.1),Background magnetic field (G ± 0.05),Section 3 magnetic field (G ± 0.05),Section 2 magnetic field (G ± 0.05),Section 1 magnetic field (G ± 0.05),Section 4 magnetic field (G ± 0.05)
22.5,-0.43,-0.45,-0.4,-0.38,-0.37
23,-0.44,-0.48,-0.41,-0.38,-0.39
23.5,-0.44,-0.5,-0.41,-0.4,-0.41
24,-0.46,-0.52,-0.43,-0.42,-0.43
24.5,-0.5,-0.56,-0.45,-0.44,-0.45
25,-0.51,-0.62,-0.49,-0.46,-0.47
25.5,-0.53,-0.71,-0.49,-0.49,-0.5
26,-0.54,-0.84,-0.51,-0.51,-0.52
26.5,-0.57,-1.01,-0.53,-0.53,-0.54
27,-0.59,-1.22,-0.54,-0.52,-0.56
27.5,-0.61,-1.55,-0.55,-0.54,-0.58
28,-0.63,-1.73,-0.59,-0.57,-0.59
28.5,-0.66,-1.78,-0.59,-0.6,-0.61
29,-0.67,-1.82,-0.61,-0.62,-0.63
29.5,-0.72,-1.82,-0.65,-0.63,-0.64
30,-0.72,-1.86,-0.64,-0.66,-0.67
30.5,-0.74,-2.02,-0.67,-0.7,-0.68
31,-0.76,-2.21,-0.7,-0.7,-0.69
31.5,-0.77,-2.37,-0.72,-0.73,-0.73
32,-0.79,-2.54,-0.72,-0.74,-0.75
32.5,-0.78,-2.7,-0.77,-0.76,-0.76
33,-0.8,-2.86,-0.79,-0.78,-0.79
33.5,-0.84,-3.06,-0.81,-0.8,-0.8
34,-0.86,-3.42,-0.83,-0.81,-0.82
34.5,-0.88,-3.67,-0.86,-0.83,-0.85
35,-0.87,-3.81,-0.87,-0.89,-0.87
35.5,-0.9,-3.94,-0.89,-0.89,-0.88
36,-0.92,-4.2,-0.91,-0.92,-0.9
36.5,-0.95,-4.42,-0.96,-0.92,-0.92
37,-0.97,-4.7,-0.98,-0.93,-0.94
37.5,-0.98,-4.89,-1,-0.95,-0.96
38,-0.99,-5.16,-1.02,-0.99,-0.96
38.5,-1,-5.38,-1.04,-0.99,-0.98
39,-1.04,-5.54,-1.06,-1.02,-1
39.5,-1.05,-5.76,-1.09,-1.03,-1.01
40,-1.07,-5.94,-1.11,-1.04,-1.02
40.5,-1.08,-6.08,-1.14,-1.05,-1.04
41,-1.09,-6.22,-1.16,-1.08,-1.05
41.5,-1.11,-6.35,-1.2,-1.1,-1.06
42,-1.12,-6.49,-1.22,-1.1,-1.06
42.5,-1.11,-6.62,-1.27,-1.12,-1.08
43,-1.14,-6.78,-1.32,-1.12,-1.1
43.5,-1.14,-7.03,-1.4,-1.15,-1.11
44,-1.15,-7.31,-1.47,-1.16,-1.12
44.5,-1.16,-7.51,-1.62,-1.19,-1.14
45,-1.17,-7.61,-1.68,-1.21,-1.14
45.5,-1.21,-7.62,-1.88,-1.2,-1.15
46,-1.21,-7.52,-2.09,-1.2,-1.16
46.5,-1.2,-7.33,-2.46,-1.23,-1.17
47,-1.21,-6.94,-3.18,-1.25,-1.18
47.5,-1.2,-6.16,-3.71,-1.28,-1.19
48,-1.23,-4.99,-4.19,-1.29,-1.2
48.5,-1.24,-4,-6.5,-1.3,-1.21
49,-1.24,-3.12,-8.93,-1.31,-1.22
49.5,-1.25,-2.63,-8.97,-1.32,-1.23
50,-1.26,-2.35,-9.57,-1.33,-1.23
50.5,-1.26,-1.93,-9.93,-1.37,-1.24
51,-1.27,-1.78,-10.28,-1.39,-1.23
51.5,-1.28,-1.58,-10.65,-1.43,-1.24
52,-1.28,-1.5,-11.11,-1.43,-1.24
52.5,-1.29,-1.51,-11.42,-1.46,-1.26
53,-1.3,-1.46,-11.59,-1.49,-1.26
53.5,-1.3,-1.43,-11.8,-1.53,-1.28
54,-1.29,-1.41,-12.02,-1.59,-1.29
54.5,-1.31,-1.4,-12.41,-1.62,-1.3
55,-1.29,-1.39,-12.6,-1.69,-1.31
55.5,-1.31,-1.36,-12.83,-1.73,-1.32
56,-1.32,-1.38,-12.96,-1.84,-1.32
56.5,-1.33,-1.38,-13.02,-1.97,-1.33
57,-1.34,-1.37,-13.1,-2.1,-1.32
57.5,-1.34,-1.37,-13.12,-2.27,-1.34
58,-1.32,-1.35,-13.1,-2.49,-1.34
58.5,-1.34,-1.35,-13.1,-2.77,-1.33
59,-1.32,-1.36,-12.97,-3.2,-1.34
59.5,-1.35,-1.34,-12.53,-3.74,-1.34
60,-1.36,-1.38,-11.8,-4.63,-1.36
60.5,-1.36,-1.38,-10.4,-5.8,-1.37
61,-1.35,-1.37,-8.8,-7.43,-1.38
61.5,-1.37,-1.38,-6.85,-9.67,-1.38
62,-1.36,-1.36,-5.54,-11.93,-1.39
62.5,-1.36,-1.37,-4.29,-13.8,-1.44
63,-1.37,-1.37,-3.53,-15.21,-1.49
63.5,-1.36,-1.37,-2.88,-16.04,-1.53
64,-1.36,-1.38,-2.54,-16.63,-1.65
64.5,-1.38,-1.37,-2.27,-16.92,-1.8
